Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0e24493d5c204d72933a5f4554223a048556d37c187401ad1c41d8a762e8fa50,2019-03,Merseyside Police,Merseyside Police,-2.947429,53.404576,On or near BEAMES CLOSE,E01033763,Liverpool 031G,Investigation complete; no suspect identified
9a7800c1be7d22030dcd46139c8a664c782660088e3ce785009ce15403014fbf,2019-03,Merseyside Police,Merseyside Police,-2.949717,53.398562,On or near A5089,E01006752,Liverpool 035F,Suspect charged
d0f221f5caae499f4755afb39570aa9a5eac029430ca0485c434bb434fa1fe3f,2019-03,Merseyside Police,Merseyside Police,-2.934478,53.397702,On or near TALTON ROAD,E01006726,Liverpool 035C,Investigation complete; no suspect identified
103d7c7f8665aef92b0a24d25192e285f2522b6ddda8ce2c28f83767d1a8a5fb,2019-03,Merseyside Police,Merseyside Police,-2.995705,53.361036,On or near BROWNLOW ROAD,E01007138,Wirral 031B,Unable to prosecute suspect
008a2b0b1161ea69ae1a7b42142a7330ec8d31d071712d3c085976807c4a047c,2019-03,Merseyside Police,Merseyside Police,-2.649995,53.469810,On or near WOBURN CLOSE,E01006836,St. Helens 005A,Investigation complete; no suspect identified
da2359846779ff1ced9980b1e9bf5926af2ed7186230c24d29433d849e5d67d0,2019-03,Merseyside Police,Merseyside Police,-2.964809,53.409497,On or near Hospital,E01006747,Liverpool 031B,Unable to prosecute suspect
eb038d7e8bab19406ee31c631c73082eceb0620b756ab74c48c31170d1cef5f7,2019-03,Merseyside Police,Merseyside Police,-2.691234,53.465623,On or near PARK AVENUE,E01006813,St. Helens 008D,Unable to prosecute suspect
5e06deee6b030f6b487a62d615f0df2fb88c84d7a5e417970b4f937b336e4a00,2019-03,Merseyside Police,Merseyside Police,-2.957047,53.409533,On or near ALBERT EDWARD ROAD,E01006748,Liverpool 031C,Unable to prosecute suspect
923aa28ac7cb2e46fb16384ca9d90f4be13786de67be848a7082aa6595d759b1,2019-03,Merseyside Police,Merseyside Police,-2.937560,53.442793,On or near HILCREST ROAD,E01006732,Liverpool 011E,Unable to prosecute suspect
9d219982349112ce068ab274bb6554b8f870204516d10cd86f77d23e3d8ea205,2019-03,Merseyside Police,Merseyside Police,-2.998701,53.444761,On or near WILLIAM HENRY STREET,E01007009,Sefton 037D,Offender given a drugs possession warning
fd6be7803f4b61ef112ea76bab75f41731ea47be039367a6b4c62d0f8ffab9c9,2019-03,Merseyside Police,Merseyside Police,-3.018386,53.394041,On or near BRUNSWICK MEWS,E01007126,Wirral 016A,Unable to prosecute suspect
761b8b23597645d6feeb101a29c67a0b66dc6118eafc52cc86d61afb4de5d4a6,2019-03,Merseyside Police,Merseyside Police,-3.071381,53.405415,On or near TREETOPS DRIVE,E01007121,Wirral 011B,Unable to prosecute suspect
c90edde21849170945f3a4fe1c6773256533bb970fa07674b555a32fad06f12e,2019-03,Merseyside Police,Merseyside Police,-2.918155,53.415627,On or near SHAFTESBURY TERRACE,E01006711,Liverpool 027A,Suspect charged
98b639f09e21fd364a42642db89e7a115130afd49e1ba506e3a9128a63ec8594,2019-03,Merseyside Police,Merseyside Police,-2.937695,53.443448,On or near KNIGHTON ROAD,E01006732,Liverpool 011E,Unable to prosecute suspect
2ed3fe11e9f411eb0120289dc9fb41379754cf59ff2c911ad2f2ead5d4e04e8e,2019-03,Merseyside Police,Merseyside Police,-2.986739,53.398306,On or near WAPPING,E01033754,Liverpool 061B,Suspect charged
c52f54162b14607b6615e38fb901fd1794ed02435dcdc57aee01cae779fb65a2,2019-03,Merseyside Police,Merseyside Police,-2.926628,53.390833,On or near NITHSDALE ROAD,E01006550,Liverpool 038A,Suspect charged
86c01b395e3aa698855ec327fbb5653c76e59b2a479f634c7ef94d83cffbe5da,2019-03,Merseyside Police,Merseyside Police,-3.056264,53.558253,On or near CHURCH CLOSE,E01007080,Sefton 014C,Unable to prosecute suspect
83b663b52cced9ee97515bce8a6acd1c97c1f8b8d6b837bf1f89b335c12d18a9,2019-03,Merseyside Police,Merseyside Police,-2.987735,53.409507,On or near CHEAPSIDE,E01033755,Liverpool 062D,Unable to prosecute suspect
83b663b52cced9ee97515bce8a6acd1c97c1f8b8d6b837bf1f89b335c12d18a9,2019-03,Merseyside Police,Merseyside Police,-2.987735,53.409507,On or near CHEAPSIDE,E01033755,Liverpool 062D,Unable to prosecute suspect
6f21de5c021b10b7ed326e75d63f97435a3f489650a31fec5959537e544a1bba,2019-03,Merseyside Police,Merseyside Police,-2.745023,53.449983,On or near GLOVER STREET,E01006832,St. Helens 012A,Unable to prosecute suspect
6f21de5c021b10b7ed326e75d63f97435a3f489650a31fec5959537e544a1bba,2019-03,Merseyside Police,Merseyside Police,-2.745023,53.449983,On or near GLOVER STREET,E01006832,St. Helens 012A,Unable to prosecute suspect
fd4355c4b43ae7de8c10e0b13b8894b619686387dc9e06490d5613fb9c788572,2019-03,Merseyside Police,Merseyside Police,-2.926385,53.419779,On or near CARNEGIE ROAD,E01006711,Liverpool 027A,Investigation complete; no suspect identified
75a8d5f3755f37e29f9a6f503832f61dd63e563b94ef3ee859cd597f216ce1c3,2019-03,Merseyside Police,Merseyside Police,-2.926385,53.419779,On or near CARNEGIE ROAD,E01006711,Liverpool 027A,Suspect charged
75a8d5f3755f37e29f9a6f503832f61dd63e563b94ef3ee859cd597f216ce1c3,2019-03,Merseyside Police,Merseyside Police,-2.926385,53.419779,On or near CARNEGIE ROAD,E01006711,Liverpool 027A,Suspect charged
75a8d5f3755f37e29f9a6f503832f61dd63e563b94ef3ee859cd597f216ce1c3,2019-03,Merseyside Police,Merseyside Police,-2.926385,53.419779,On or near CARNEGIE ROAD,E01006711,Liverpool 027A,Suspect charged
75a8d5f3755f37e29f9a6f503832f61dd63e563b94ef3ee859cd597f216ce1c3,2019-03,Merseyside Police,Merseyside Police,-2.926385,53.419779,On or near CARNEGIE ROAD,E01006711,Liverpool 027A,Suspect charged
75a8d5f3755f37e29f9a6f503832f61dd63e563b94ef3ee859cd597f216ce1c3,2019-03,Merseyside Police,Merseyside Police,-2.926385,53.419779,On or near CARNEGIE ROAD,E01006711,Liverpool 027A,Suspect charged
0b5a4445855957e9eb3da67303f108335f0b73b55a601ba085713db3417972c0,2019-03,Merseyside Police,Merseyside Police,-2.984445,53.455270,On or near SUFFOLK STREET,E01006966,Sefton 038F,Suspect charged
0b5a4445855957e9eb3da67303f108335f0b73b55a601ba085713db3417972c0,2019-03,Merseyside Police,Merseyside Police,-2.984445,53.455270,On or near SUFFOLK STREET,E01006966,Sefton 038F,Suspect charged
0b5a4445855957e9eb3da67303f108335f0b73b55a601ba085713db3417972c0,2019-03,Merseyside Police,Merseyside Police,-2.984445,53.455270,On or near SUFFOLK STREET,E01006966,Sefton 038F,Suspect charged
bf3643e3616db34e4ccef9f85d053929174f0a7c457faf2188145a5a62460328,2019-03,Merseyside Police,Merseyside Police,-2.783528,53.500802,On or near LAKESIDE GARDENS,E01006882,St. Helens 001A,Unable to prosecute suspect
d071d17cf017f8ae3c28e1d9cbe2f52c3226bcacfe5728cb437a6cdcdfa55240,2019-03,Merseyside Police,Merseyside Police,-2.978238,53.436822,On or near TYNE CLOSE,E01006701,Liverpool 014B,Suspect charged
039f6a97a6fab213006f064801b82c96be7096c393488819a3ac68828b1b730c,2019-03,Merseyside Police,Merseyside Police,-2.921866,53.430691,On or near CLINTON ROAD,E01006618,Liverpool 016C,Investigation complete; no suspect identified
91205c02c50d9b16d562f68fcb93cb1afacbb899a2c8c68a30378ec2db660988,2019-03,Merseyside Police,Merseyside Police,-3.053611,53.400935,On or near CONNAUGHT WAY,E01032903,Wirral 010F,Unable to prosecute suspect
91205c02c50d9b16d562f68fcb93cb1afacbb899a2c8c68a30378ec2db660988,2019-03,Merseyside Police,Merseyside Police,-3.053611,53.400935,On or near CONNAUGHT WAY,E01032903,Wirral 010F,Unable to prosecute suspect
91205c02c50d9b16d562f68fcb93cb1afacbb899a2c8c68a30378ec2db660988,2019-03,Merseyside Police,Merseyside Police,-3.053611,53.400935,On or near CONNAUGHT WAY,E01032903,Wirral 010F,Unable to prosecute suspect
91205c02c50d9b16d562f68fcb93cb1afacbb899a2c8c68a30378ec2db660988,2019-03,Merseyside Police,Merseyside Police,-3.053611,53.400935,On or near CONNAUGHT WAY,E01032903,Wirral 010F,Unable to prosecute suspect
961a5158509c2af8f767dd12933ffd736622c461d0e3ddc553b2e119c5f3385c,2019-03,Merseyside Police,Merseyside Police,-2.878118,53.341833,On or near HURRICANE DRIVE,E01006739,Liverpool 058B,Unable to prosecute suspect
