"Site_Name","match1","match2","match3","match4","match5","group1","group2","group3","group4","group5"
"BDL01W6F","0.7","0.703","0.708","0.725","0.738","R6_176","R4_33...R4_84","R4_42E","R4_143","R4_29"
"BDL03W7M","0.577","0.637","0.649","0.704","0.71","R4_42E","R4_29","R4_42W","R4_97","R6_91"
"BDL04W8M","0.528","0.629","0.652","0.659","0.674","R4_42E","R4_42W","R4_29","R4_33...R4_84","R4_97"
"BDL05W3M","0.671","0.676","0.694","0.698","0.713","R6_91","R4_42E","R4_29","R6_43","R4_141"
"BDL06W8M","0.658","0.679","0.685","0.714","0.716","R6_91","R4_29","R6_43","R6_97","R6_21"
"BDL07W1C","0.537","0.632","0.672","0.691","0.695","R4_42E","R4_42W","R4_29","R4_33...R4_84","R4_83"
"BDL08W8L","0.569","0.616","0.635","0.66","0.666","R4_42E","R6_91","R4_29","R10_218","R4_42W"
"BDL09W8U","0.6","0.685","0.717","0.72","0.724","R4_42E","R4_42W","R4_29","R4_141","R4_97"
"BOD53U0F","0.526","0.63","0.63","0.645","0.65","R10_29","R10_16","R10_226","R9_53","R10_34"
"BOD54U0F","0.585","0.627","0.636","0.655","0.657","R9_15","R9_28","R1_101","R9_47","R1_16"
"BOD56U0F","0.516","0.652","0.664","0.694","0.718","R9_15","R9_126","R1_16","R9_87","R9_68"
"BOD57U0F","0.6","0.61","0.627","0.639","0.648","R9_38","R9_22","R9_108","R1_29","R9_24"
"BOD58U0F","0.616","0.702","0.705","0.707","0.715","R9_45","R9_93","R9_71","R9_5","R9_10"
"BOD59U0V","0.53","0.797","0.827","0.844","0.857","R10_22","R10_54","R10_34","R5_43","R10_103"
"BOD60U0F","0.566","0.611","0.638","0.642","0.656","R9_22","R9_45","R1_17","R9_12","R1_12"
"BOM03W7M","0.585","0.628","0.682","0.688","0.694","R4_29","R4_42E","R4_71","R4_97","R4_112"
"BOM04W3S","0.597","0.655","0.685","0.692","0.702","R4_42E","R4_29","R4_33...R4_84","R4_42Vic","R6_137"
"BOM05W1M","0.631","0.646","0.657","0.681","0.696","R4_42E","R4_33...R4_84","R6_176","R4_42Vic","R4_29"
"BOM06W8F","0.584","0.624","0.675","0.682","0.694","R4_42E","R4_141","R4_33...R4_84","R4_29","R6_176"
"BOM07W8C","0.552","0.604","0.661","0.673","0.681","R4_42E","R4_141","R4_33...R4_84","R6_176","R4_29"
"CDE16U7L","0.566","0.661","0.668","0.674","0.681","R9_87","R9_15","R1_29","R9_38","R1_73"
"CMA02W8L","0.696","0.721","0.744","0.75","0.753","R6_43","R4_29","R6_138","R6_97","R10_222"
"CMA03W4U","0.597","0.666","0.679","0.727","0.738","R4_29","R4_97","R4_42E","R4_80","R6_89"
"CMA04W1L","0.61","0.702","0.726","0.73","0.74","R4_29","R4_97","R4_42E","R4_71","R2_128"
"CMA06M8L","0.583","0.664","0.689","0.691","0.696","R4_29","R6_91","R6_97","R6_63","R4_42E"
"CRI01W2U","0.591","0.647","0.671","0.7","0.702","R4_42E","R4_164","R4_112","R4_67","R4_42W"
"CRI02W5S","0.543","0.622","0.637","0.643","0.646","R4_42E","R4_29","R4_164","R4_67","R4_112"
"CTC01W5U","0.568","0.587","0.591","0.608","0.62","R4_9","R4_15","R4_11","R4_13","R4_125"
"CTF03X7F","0.657","0.694","0.71","0.714","0.716","R4_112","R4_67","R4_166...R10_219","R4_165N","R4_165SW"
"CTF07V3F","0.673","0.703","0.735","0.745","0.749","R4_112","R4_165N","R4_165SW","R4_74","R4_144W"
"DEL01W5M","0.61","0.653","0.673","0.682","0.685","R4_42E","R4_42W","R4_164","R4_42Vic","R4_47E"
"DEL03W7M","0.524","0.607","0.61","0.648","0.652","R4_42E","R4_42Vic","R4_42W","R4_147SW","R4_29"
"DEL04W7U","0.595","0.617","0.646","0.652","0.656","R4_141","R4_42E","R10_166","R4_33...R4_84","R10_69"
"DEL05W6U","0.562","0.605","0.624","0.632","0.654","R4_42E","R4_141","R4_33...R4_84","R4_29","R6_176"
"EUC01W4M","0.618","0.63","0.664","0.699","0.7","R4_33...R4_84","R4_42E","R4_83","R6_176","R10_69"
"EUC03X1M","0.657","0.671","0.691","0.692","0.695","R4_42E","R4_97","R4_24","R4_148","R2_128"
"EUC04X4L","0.558","0.598","0.623","0.631","0.652","R10_218","R6_91","R4_83","R4_42E","R4_141"
"EUC05W6M","0.702","0.723","0.78","0.799","0.802","R6_91","R10_218","R6_21","R10_168","R4_51"
"EUC06W5U","0.603","0.617","0.639","0.648","0.651","R4_42E","R6_91","R4_83","R4_29","R10_218"
"EUC08X7L","0.576","0.655","0.69","0.706","0.707","R4_42E","R4_141","R4_33...R4_84","R6_43","R4_29"
"EUC09X5L","0.662","0.689","0.694","0.703","0.706","R4_33...R4_84","R6_90","R4_42E","R6_137","R6_176"
"EUC10X3V","0.567","0.609","0.671","0.678","0.693","R4_42E","R4_33...R4_84","R4_83","R4_141","R4_42W"
"EUC11X3L","0.657","0.672","0.679","0.68","0.684","R4_33...R4_84","R6_91","R4_83","R10_218","R4_42E"
"EUC13W3U","0.53","0.621","0.63","0.677","0.682","R4_42E","R4_66","R4_42W","R4_164","R4_47N"
"EUC14W3M","0.574","0.587","0.635","0.652","0.662","R4_42E","R4_66","R4_42W","R4_47N","R4_47E"
"EUC15W3U","0.535","0.595","0.637","0.67","0.671","R4_42E","R4_42W","R4_66","R4_47N","R4_47E"
"EUC16W5M","0.493","0.605","0.611","0.65","0.654","R4_42E","R4_42W","R4_97","R4_42Vic","R4_147SW"
"EUC17W8L","0.626","0.67","0.687","0.697","0.704","R4_42E","R4_42Vic","R4_112","R4_33...R4_84","R4_66"
"EUC18W2L","0.548","0.595","0.639","0.681","0.688","R4_42E","R4_42W","R4_33...R4_84","R4_66","R4_83"
"EUC19W8L","0.532","0.631","0.649","0.66","0.667","R4_42E","R4_42W","R4_97","R4_83","R4_141"
"JLM04U1V","0.52","0.583","0.642","0.669","0.704","R6_91","R10_218","R6_21","R4_83","R10_168"
"JLM05V2M","0.55","0.59","0.645","0.658","0.664","R10_218","R6_91","R4_83","R4_80","R6_176"
"JRN02W4U","0.548","0.605","0.632","0.651","0.662","R4_42E","R4_164","R4_42W","R4_112","R4_33...R4_84"
"JRN03W4M","0.566","0.577","0.619","0.65","0.651","R4_42E","R4_42W","R4_83","R4_33...R4_84","R4_64"
"JRN05W5M","0.592","0.624","0.649","0.653","0.678","R4_42E","R4_97","R4_112","R4_42W","R4_125"
"JRN06W6L","0.574","0.581","0.671","0.683","0.692","R4_42E","R4_97","R4_149","R4_42W","R2_128"
"JRN07W5L","0.525","0.604","0.619","0.657","0.682","R4_42E","R4_42W","R4_47N","R4_97","R4_66"
"JRN08W5D","0.545","0.579","0.603","0.604","0.606","R4_42E","R4_47E","R4_42Vic","R4_47N","R4_112"
"MYA02X8L","0.634","0.646","0.683","0.694","0.731","R10_218","R6_91","R4_83","R4_29","R6_185"
"NUV01W2L","0.586","0.654","0.657","0.666","0.67","R4_42E","R4_29","R10_218","R6_91","R4_83"
"NUV02X6V","0.289","0.77","0.788","0.788","0.803","R10_248","R4_51","R10_93","R4_59R","R2_110"
"NUV04X7C","0.527","0.617","0.64","0.641","0.645","R4_42E","R4_97","R4_147SW","R4_42W","R4_29"
"NUV05X6U","0.626","0.671","0.691","0.693","0.702","R4_42E","R4_97","R4_147SW","R4_148","R4_1"
"NUV06W6U","0.545","0.66","0.666","0.671","0.69","R4_42E","R4_42W","R4_33...R4_84","R4_141","R4_66"
"NUV08W5M","0.53","0.64","0.654","0.677","0.679","R4_42E","R4_29","R4_42W","R4_97","R4_147SW"
"TBO01W6C","0.574","0.679","0.691","0.693","0.697","R4_42E","R4_42W","R4_42Vic","R4_141","R4_33...R4_84"
"TMG01W5M","0.491","0.622","0.623","0.638","0.639","R4_42E","R4_141","R4_33...R4_84","R4_42W","R4_29"
"TMG02W4U","0.534","0.6","0.643","0.644","0.648","R4_42E","R4_112","R4_29","R4_141","R4_147SW"
"TND05W8M","0.534","0.583","0.609","0.612","0.625","R4_42E","R4_42Vic","R4_42W","R4_97","R4_112"
"TND06W8C","0.615","0.662","0.667","0.671","0.69","R4_42E","R4_97","R4_42W","R2_128","R4_43"
"TND07X5L","0.537","0.649","0.651","0.667","0.674","R4_47E","R4_112","R4_47W","R4_42Vic","R4_42E"
"WHN01W1L","0.529","0.561","0.598","0.604","0.624","R4_42E","R4_112","R4_47E","R4_47W","R4_164"
