"Site_Name","match1","match2","match3","match4","match5","group1","group2","group3","group4","group5"
"BDL01W6F","75","67","62","60","57","R6_176","R4_83","R4_42W","R4_42E","R4_33...R4_84"
"BDL03W7M","100","80","80","75","71","R10_291","R4_29","R4_42E","R6_141","R4_101"
"BDL04W8M","88","86","80","80","78","R4_42W","R4_33...R4_84","R4_42E","R4_64","R6_137"
"BDL05W3M","100","100","75","71","70","R10_166","R10_202","R10_295","R4_141","R4_42E"
"BDL06W8M","75","70","67","62","60","R6_21","R6_91","R6_43","R6_87","R10_97"
"BDL07W1C","100","80","80","75","75","R10_219","R4_2","R4_42E","R10_295","R4_42W"
"BDL08W8L","100","83","78","75","75","R10_219","R3_23","R6_137","R10_69","R4_42W"
"BDL09W8U","100","75","70","67","62","R10_44","R10_295","R4_42E","R10_93","R4_42W"
"BOD53U0F","100","100","100","100","100","R10_20","R10_24","R10_29","R10_290","R10_44"
"BOD54U0F","100","100","83","78","75","R10_124","R10_202","R9_15","R9_102","R1_16"
"BOD56U0F","100","100","67","67","62","R9_15","R10_202","R9_126","R10_210","R1_16"
"BOD57U0F","100","83","78","78","75","R10_202","R9_15","R9_102","R9_120","R9_113"
"BOD58U0F","100","100","100","75","67","R10_20","R10_24","R10_29","R9_43","R5_15"
"BOD59U0V","100","50","50","50","50","R10_20","R10_22","R10_24","R10_29","R10_54"
"BOD60U0F","100","100","100","89","87","R10_166","R10_20","R10_202","R1_6","R9_12"
"BOM03W7M","100","100","100","80","78","R10_166","R10_202","R10_219","R4_29","R1_31"
"BOM04W3S","100","100","100","100","86","R10_166","R10_168","R10_202","R10_219","R4_141"
"BOM05W1M","100","100","100","100","83","R10_166","R10_168","R10_202","R10_219","R4_112"
"BOM06W8F","100","100","100","80","80","R10_166","R10_219","R4_141","R4_29","R4_42E"
"BOM07W8C","100","100","100","100","83","R10_166","R10_202","R10_219","R4_141","R3_23"
"CDE16U7L","100","100","83","71","67","R9_15","R10_210","R9_87","R1_46","R9_102"
"CMA02W8L","75","67","60","57","50","R6_87","R6_43","R10_97","R6_76","R10_124"
"CMA03W4U","100","82","80","67","67","R10_44","R4_97","R4_29","R6_89","R6_92"
"CMA04W1L","100","100","80","78","75","R10_291","R3_23","R4_29","R6_89","R6_141"
"CMA06M8L","80","80","75","71","71","R10_97","R4_29","R6_87","R6_71","R6_76"
"CRI01W2U","100","100","83","80","80","R10_202","R10_219","R4_112","R10_222","R4_42E"
"CRI02W5S","100","100","100","100","88","R10_166","R10_219","R4_141","R4_42E","R4_42W"
"CTC01W5U","83","82","80","75","67","R4_15","R4_11","R4_9","R4_13","R10_210"
"CTF03X7F","100","100","100","83","57","R10_166","R10_202","R10_219","R4_112","R4_67"
"CTF07V3F","100","100","75","71","67","R10_202","R10_219","R2_152","R4_96","R10_210"
"DEL01W5M","100","80","75","67","62","R10_219","R4_42E","R4_42W","R4_166...R10_219","R4_164"
"DEL03W7M","90","75","71","71","70","R4_42E","R4_42W","R4_141","R4_33...R4_84","R4_29"
"DEL04W7U","100","86","75","70","67","R10_166","R4_141","R10_69","R4_42E","R4_83"
"DEL05W6U","100","100","100","90","75","R10_166","R10_69","R4_141","R4_42E","R4_42W"
"EUC01W4M","75","71","70","62","60","R10_69","R4_33...R4_84","R4_42E","R4_42W","R4_2"
"EUC03X1M","75","67","67","64","64","R4_24","R10_210","R4_148","R4_149","R4_97"
"EUC04X4L","80","78","75","75","71","R10_218","R6_137","R10_69","R4_42W","R4_101"
"EUC05W6M","100","50","50","50","40","R10_219","R6_125","R6_21","R10_202","R6_91"
"EUC06W5U","100","90","89","88","88","R10_168","R6_91","R6_137","R6_21","R4_42W"
"EUC08X7L","100","100","75","71","70","R10_166","R10_219","R10_211","R4_141","R4_42E"
"EUC09X5L","100","100","75","67","62","R10_166","R10_219","R6_87","R4_83","R6_21"
"EUC10X3V","100","100","100","100","88","R10_166","R10_219","R10_69","R4_33...R4_84","R4_42W"
"EUC11X3L","100","86","75","75","75","R10_219","R4_33...R4_84","R6_21","R10_69","R4_42W"
"EUC13W3U","100","90","86","78","75","R10_219","R4_42E","R4_33...R4_84","R4_123","R10_69"
"EUC14W3M","100","80","78","75","70","R10_219","R4_42E","R4_66","R4_164","R4_64"
